field_id,crop,profit
F1,Potato,9228644.512018725
F1,Wheat,416515479.19037277
F1,Maize,51305904.67879257
F1,Onion,1622065.410621856
F1,Potato,472118.6960866821
F1,Rice,4411513.579831932
F1,Banana,456890954.066365
F1,Coconut,44908500.0
F1,Garlic,11034206.801470589
F1,Turmeric,262598125.0
F1,Groundnut,375077187.5
F1,Maize,1785463384.7841418
F1,Rice,900996960.4957982
F1,Soyabean,613289641.7582417
F1,Groundnut,86916620.83333333
F1,Maize,545243418.1342449
F1,Wheat,570761196.8798518
F1,Maize,63042878.620141044
F1,Rice,3673223.084033613
F1,Banana,434351711.48491704
F1,Coconut,46444125.0
F1,Garlic,10073922.794117646
F1,Onion,272360737.1851534
F1,Potato,83351279.79762782
F1,Turmeric,69889375.0
F1,Groundnut,474300138.3333333
F1,Maize,2197381939.7295322
F1,Onion,306707750.6614359
F1,Potato,53145253.22164948
F1,Rice,911706730.0336133
F1,Soyabean,575967739.2170329
F1,Groundnut,118049610.0
F1,Maize,538088227.633299
F1,Onion,15015184.73001871
F1,Potato,5103985.903639806
F1,Wheat,495827885.9532686
F1,Maize,52245757.69220847
F1,Onion,748986.4874182887
F1,Rice,4511775.252100839
F1,Banana,825933118.0957768
F1,Coconut,27624187.5
F1,Garlic,16252353.860294117
F1,Turmeric,640687500.0
F1,Groundnut,335524744.1666666
F1,Maize,1661872713.519952
F1,Onion,114967209.882354
F1,Potato,94586428.76801494
F1,Rice,849349165.259916
F1,Soyabean,490332223.076923
F1,Groundnut,46997013.33333333
F1,Maize,670473237.8087376
F1,Onion,8398398.779039392
F1,Potato,6555431.894987376
F1,Wheat,436932220.212717
F1,Maize,55708668.497592025
F1,Onion,726827.1238852033
F1,Rice,4402398.882352941
F1,Banana,703838657.1598793
F1,Coconut,37759312.5
F1,Garlic,60135521.13970588
F1,Turmeric,272271250.0
F1,Groundnut,304518363.3333333
F1,Maize,1294429345.8165636
F1,Onion,159237186.34875214
F1,Potato,168380494.9610772
F1,Rice,763962132.3948739
F1,Soyabean,512856391.62087905
F1,Groundnut,93234376.66666666
F1,Maize,567900588.993378
F1,Onion,11163887.347968457
F1,Potato,8431146.714575006
F1,Wheat,374412694.0047242
F1,Maize,59770176.162710704
F1,Onion,780009.5963646084
F1,Rice,4402398.882352941
F1,Banana,893458886.4660634
F1,Coconut,41734875.0
F1,Garlic,10563124.080882352
F1,Turmeric,215740000.0
F1,Groundnut,357453307.5
F1,Maize,2401967801.042742
F1,Onion,232469450.952893
F1,Potato,155260061.19753313
F1,Rice,1268765889.07563
F1,Soyabean,672969329.326923
F1,Groundnut,70989292.5
F1,Maize,580756435.5697455
F1,Onion,32498922.557623144
F1,Potato,6163062.978645067
F1,Wheat,485527490.96437687
F1,Maize,61549183.652390786
F1,Onion,1887977.7730188817
F1,Potato,146739.59472964445
F1,Rice,3390667.4621848734
F1,Banana,969463309.1244344
F1,Coconut,54804750.0
F1,Garlic,45984920.955882356
F1,Turmeric,257196250.0
F1,Groundnut,337550477.5
F1,Maize,2162607378.2331443
F1,Onion,212889437.3350587
F1,Potato,133682960.78989586
F1,Rice,1447031142.3697476
F1,Soyabean,815123246.2225274
F1,Groundnut,68748325.0
F1,Maize,612442908.5934813
F1,Onion,10773882.549786152
F1,Potato,6935040.846570587
F1,Wheat,282140702.1726251
F1,Maize,44738122.31123152
F1,Onion,873078.9232035673
F1,Rice,2852900.3109243694
F1,Banana,947604565.9110105
F1,Coconut,52074750.0
F1,Garlic,54265105.69852941
F1,Turmeric,298736250.0
F1,Groundnut,290844663.3333333
F1,Maize,1296180381.4903681
F1,Onion,43232918.253049746
F1,Potato,184276221.05972543
F1,Rice,864237385.5630251
F1,Soyabean,419889601.78571427
F1,Groundnut,65823672.49999999
F1,Maize,624336524.7037324
F1,Onion,23528812.199430145
F1,Potato,29689248.0032348
F1,Wheat,270298103.8674668
F1,Groundnut,18446834.166666664
F1,Maize,53347847.2377021
F1,Onion,1484677.3567167262
F1,Potato,4102328.6700504944
F1,Rice,2369821.3445378146
F1,Coconut,22181250.0
F1,Garlic,32432233.45588235
F1,Tapioca,107625.0
F1,Turmeric,292287500.0
F1,Groundnut,434760355.8333333
F1,Maize,2131967051.123151
F1,Onion,174026345.5707334
F1,Potato,186282725.51809385
F1,Rice,1126403429.1512604
F1,Soyabean,511202955.4258241
F1,Maize,598742313.1776747
F1,Onion,13198116.920305703
F1,Potato,45827413.43230591
F1,Wheat,237556429.34639937
F1,Groundnut,61632936.666666664
F1,Maize,45487766.97669419
F1,Onion,70909.96330587349
F1,Potato,4839216.634888492
F1,Rice,2369821.3445378146
F1,Coconut,14349562.5
F1,Garlic,23717203.125
F1,Tapioca,2285750.0
F1,Turmeric,373399375.0
F1,Groundnut,391270393.3333333
F1,Maize,2503298501.23323
F1,Onion,213314897.1148939
F1,Potato,109560247.41281822
F1,Rice,1610457668.168067
F1,Soyabean,706984359.4780219
F1,Maize,646937751.9311146
F1,Onion,17164642.992728002
F1,Potato,30097566.875525985
F1,Wheat,470181615.9901685
F1,Groundnut,46718475.0
F1,Maize,97492967.05237359
F1,Onion,3412541.984095162
F1,Potato,4635057.198742899
F1,Coconut,19946062.5
F1,Garlic,29931871.32352941
F1,Turmeric,206988125.0
F1,Groundnut,485580940.8333333
F1,Maize,1217350209.9901102
F1,Rice,881692031.235294
F1,Groundnut,274309615.0
F1,Maize,6853094.889490885
F1,Wheat,12013954.229187945
F1,Maize,3233541.9152046787
F1,Rice,597659828.3949579
F1,Turmeric,251250.0
F1,Groundnut,779337595.8333333
F1,Maize,536924600.0928793
F1,Onion,238815892.66876867
F1,Rice,1138835876.512605
F1,Groundnut,319610076.6666666
F1,Maize,13829265.76883385
F1,Onion,4064027.2719678744
F1,Wheat,13917908.940628191
F1,Maize,7899240.803233575
F1,Onion,53288837.424363926
F1,Rice,909118155.9495797
F1,Coconut,95652375.0
F1,Garlic,90592.83088235294
F1,Turmeric,209375.0
F1,Groundnut,762207488.3333333
F1,Maize,781996867.7042484
F1,Rice,1477319282.0924368
F1,Groundnut,198914352.5
F1,Maize,20402642.499570005
F1,Wheat,11322184.017364657
F1,Maize,6041912.229102167
F1,Rice,863316801.1176469
F1,Banana,444568397.94268477
F1,Coconut,95567062.5
F1,Garlic,90592.83088235294
F1,Onion,175307156.78294572
F1,Turmeric,167500.0
F1,Groundnut,690433224.1666666
F1,Maize,905084046.2826798
F1,Rice,1574372580.8487391
F1,Groundnut,170566746.66666666
F1,Maize,8027911.15626075
F1,Wheat,16869038.74336057
F1,Maize,6137016.403078776
F1,Rice,919600058.05042
F1,Banana,310969819.3122172
F1,Coconut,103228125.0
F1,Garlic,90592.83088235294
F1,Onion,131444912.60555637
F1,Turmeric,167500.0
F1,Groundnut,733834560.8333333
F1,Maize,786226206.26462
F1,Rice,1602482307.8739493
F1,Maize,17213855.489766084
F1,Wheat,14406590.649897853
F1,Maize,4341225.823873409
F1,Rice,713771959.5798318
F1,Coconut,102972187.5
F1,Onion,211533284.28683385
F1,Turmeric,3685000.0
F1,Groundnut,389054747.5
F1,Maize,716514846.7397661
F1,Rice,1964955597.218487
F1,Groundnut,81700357.5
F1,Maize,36581540.801943585
